iter	MultiClass
0	1.039764762
1	0.9866146393
2	0.9398509252
3	0.8989264658
4	0.8626053045
5	0.8322849554
6	0.7988721982
7	0.7681213679
8	0.7406676492
9	0.7136959294
10	0.6902253829
11	0.6666402166
12	0.6442747798
13	0.6238370566
14	0.6036278257
15	0.5848499114
16	0.5705493845
17	0.554349415
18	0.5398047847
19	0.5251262427
20	0.5114839189
21	0.4985203846
22	0.4849005069
23	0.4730122238
24	0.4620388561
25	0.4514062018
26	0.441173932
27	0.4315926458
28	0.4223961489
29	0.4125160682
30	0.4038593925
31	0.3949618346
32	0.3871822415
33	0.3792281184
34	0.3734062146
35	0.3657400411
36	0.3586933809
37	0.3518465664
38	0.346096939
39	0.3399945232
40	0.3336710514
41	0.3281126647
42	0.3237011723
43	0.317955124
44	0.3137471269
45	0.3084508689
46	0.3033554401
47	0.2984390452
48	0.2936498012
49	0.2895071354
50	0.2852965899
51	0.2818194201
52	0.277669191
53	0.2737367393
54	0.2699416167
55	0.2660077045
56	0.2624254794
57	0.2595010544
58	0.2565728314
59	0.2532959019
60	0.2501368059
61	0.2472963139
62	0.245108503
63	0.2421610794
64	0.2391887466
65	0.2363453578
66	0.2342816728
67	0.2314098187
68	0.2289026691
69	0.2268153493
70	0.2253670944
71	0.223609946
72	0.2211064421
73	0.2192553948
74	0.2168979487
75	0.2145960097
76	0.2124533574
77	0.2108491877
78	0.2090867811
79	0.2069716612
80	0.2055787137
81	0.2037730543
82	0.202399618
83	0.2002942333
84	0.198952686
85	0.1977206713
86	0.1961315698
87	0.1946364254
88	0.1931355643
89	0.191909343
90	0.1905177085
91	0.1892027252
92	0.1883789978
93	0.186784213
94	0.1853204216
95	0.184165045
96	0.1825979393
97	0.1821413347
98	0.1808477749
99	0.1794004131
